id,baslik,url,metin,kitap_adi,yayin_yili,donem,metin_uzunluk,kelime_sayisi
287,Yeniden Geliş Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/yeniden-gelis-siiri/,,,,Belirsiz,0,0
288,Rıhtıma Dönüş Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/rihtima-donus-siiri/,,,,Belirsiz,0,0
289,Kral Sofrası Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kral-sofrasi-siiri/,,,,Belirsiz,0,0
290,Sonbahar Düşünceleri,https://www.antoloji.com/sonbahar-dusunceleri-siiri/,,,,Belirsiz,0,0
291,Karşılama Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/karsilama-siiri/,,,,Belirsiz,0,0
292,Hatırlama Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/hatirlama-siiri/,,,,Belirsiz,0,0
293,Bitişik Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/bitisik-siiri/,,,,Belirsiz,0,0
294,Yıkılış Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/yikilis-2-siiri/,,,,Belirsiz,0,0
295,Gün Batımı Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/gun-batimi-2-siiri/,,,,Belirsiz,0,0
296,Ümitlerin Ölümü Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/umitlerin-olumu-siiri/,,,,Belirsiz,0,0
297,Unutulmuş Adam Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/unutulmus-adam-siiri/,,,,Belirsiz,0,0
298,Toprak Olmaz Bende Tenden Başkası,https://www.antoloji.com/toprak-olmaz-bende-tenden-baskasi-siiri/,,,,Belirsiz,0,0
299,Orhan Veli'nin Ardından,https://www.antoloji.com/orhan-veli-nin-ardindan-siiri/,,,,Belirsiz,0,0
300,Darağacı Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/daragaci-siiri/,,,,Belirsiz,0,0
301,Parasız Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/parasiz-siiri/,,,,Belirsiz,0,0
302,Kaside Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kaside-3-siiri/,,,,Belirsiz,0,0
303,Ne Demek Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/ne-demek-siiri/,,,,Belirsiz,0,0
304,Gidene Sone Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/gidene-sone-siiri/,,,,Belirsiz,0,0
305,Ustura Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/ustura-siiri/,,,,Belirsiz,0,0
306,Lale Devri Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/lale-devri-siiri/,,,,Belirsiz,0,0
307,Bu Şehrin Mezarları,https://www.antoloji.com/bu-sehrin-mezarlari-siiri/,,,,Belirsiz,0,0
308,Fal Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/fal-3-siiri/,,,,Belirsiz,0,0
309,Nesli Tükenmiş Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/nesli-tukenmis-siiri/,,,,Belirsiz,0,0
310,Bir Günü Yaşamak Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/bir-gunu-yasamak-siiri/,,,,Belirsiz,0,0
311,Türk İnsanlığı Şiiri - Önder Karaçay,https://www.antoloji.com/turk-insanligi-siiri/,,E-Kitap,,Belirsiz,0,0
312,Yaşam İnsana Ektiğini Biçtirir,https://www.antoloji.com/yasam-insana-ektigini-bictirir-siiri/,,E-Kitap,,Belirsiz,0,0
313,Kutlu olsun Şiiri - Ahmet Arslan Hadimi,https://www.antoloji.com/kutlu-olsun-79-siiri/,,,,Belirsiz,0,0
314,Sensiz Şehirler Şiiri - Kudret Kobal,https://www.antoloji.com/sensiz-sehir-7-siiri/,,E-Kitap,,Belirsiz,0,0
315,Davet*,https://www.antoloji.com/davet-300-siiri/,,,,Belirsiz,0,0
316,Bir İki Üç Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/bir-iki-uc-siiri/,,,,Belirsiz,0,0
317,Do Minör Daktilo Konçertosu,https://www.antoloji.com/do-minor-daktilo-koncertosu-siiri/,,,,Belirsiz,0,0
318,Kekeme Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kekeme-2-siiri/,,,,Belirsiz,0,0
319,Karanlık Dünya Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/karanlik-dunya-siiri/,,,,Belirsiz,0,0
320,Potasyum Siyanür Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/potasyum-siyanur-siiri/,,,,Belirsiz,0,0
321,Yaşayanlar İçin Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/yasayanlar-icin-siiri/,,,,Belirsiz,0,0
322,Yitik Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/yitik-siiri/,,,,Belirsiz,0,0
323,Sevenin Ömrü Bitmez,https://www.antoloji.com/sevenin-omru-bitmez-siiri/,,,,Belirsiz,0,0
324,Kim bilir Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/kim-bilir-siiri/,,,,Belirsiz,0,0
325,Ressam Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/ressam-siiri/,,,,Belirsiz,0,0
326,Kaldırım Çocuğu Yüreğim,https://www.antoloji.com/kaldirim-cocugu-yuregim-siiri/,,,,Belirsiz,0,0
327,Maria Vetsera Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/maria-vetsera-siiri/,,,,Belirsiz,0,0
328,Orada Şiiri - Ümit Yaşar Oğuzcan,https://www.antoloji.com/orada-2-siiri/,,,,Belirsiz,0,0
